ID,Nombre,Dirección,Código postal,Ciudad,Provincia,País,Dirección completa,Consulta geocodificación,Latitud,Longitud,Observaciones
49,NAUTIC LUIS,Avda Joan Carles I 46,17487,Empuriabrava,Girona,España,"Avda Joan Carles I 46, 17487 Empuriabrava, Girona, España","Avda Joan Carles I 46, 17487 Empuriabrava, Girona, España",,,
50,NÁUTICA BORRAT,"Ctra. Torroella a Palafrugell, C-31, km 347",17257,GUALTA,Girona,España,"Ctra. Torroella a Palafrugell, C-31, km 347, 17257 GUALTA, Girona, España","Ctra. Torroella a Palafrugell, C-31, km 347, 17257 GUALTA, Girona, España",,,
51,NÁUTICA BUSCATÓ,"Ctra. De Cadaqués, 4",17489,PORT DE LA SELVA,Girona,España,"Ctra. De Cadaqués, 4, 17489 PORT DE LA SELVA, Girona, España","Ctra. De Cadaqués, 4, 17489 PORT DE LA SELVA, Girona, España",,,
52,NÀUTICA EMPORDÀ,"Pol. Industrial Torroella II-III, s/n",17257,TORROELLA DE MONTGRI,Girona,España,"Pol. Industrial Torroella II-III, s/n, 17257 TORROELLA DE MONTGRI, Girona, España","Pol. Industrial Torroella II-III, s/n, 17257 TORROELLA DE MONTGRI, Girona, España",,,
53,NÁUTICA GELABERT,"Av. de les Alegries, 24, Local 5",17310,LLORET DE MAR,Girona,España,"Av. de les Alegries, 24, Local 5, 17310 LLORET DE MAR, Girona, España","Av. de les Alegries, 24, Local 5, 17310 LLORET DE MAR, Girona, España",,,
54,NÁUTICA MATÓ / (COMERCIAL AUTO NÀUTICA),"Begur, 45",17200,PALAFRUGELL,Girona,España,"Begur, 45, 17200 PALAFRUGELL, Girona, España","Begur, 45, 17200 PALAFRUGELL, Girona, España",,,
55,NÁUTICA MORET,"Avinguda Catalunya, 4",17253,MONT-RAS,Girona,España,"Avinguda Catalunya, 4, 17253 MONT-RAS, Girona, España","Avinguda Catalunya, 4, 17253 MONT-RAS, Girona, España",,,
56,NAÚTICA PALAMÓS,"C/ Angel Guimerà, s/n",17230,PALAMÓS,Girona,España,"C/ Angel Guimerà, s/n, 17230 PALAMÓS, Girona, España","C/ Angel Guimerà, s/n, 17230 PALAMÓS, Girona, España",,,
57,NÁUTICA TOSSA,"AV. FERRAN AGULLÓ, 30 LOCAL 2",17320,TOSSA,Girona,España,"AV. FERRAN AGULLÓ, 30 LOCAL 2, 17320 TOSSA, Girona, España","AV. FERRAN AGULLÓ, 30 LOCAL 2, 17320 TOSSA, Girona, España",,,Tienda:
58,NÁUTICA VORAMAR / (NOVA VORAMAR),"c/ Indústria, 19 (Pol. Industrial)",17253,VALL-LLOBREGA,Girona,España,"c/ Indústria, 19 (Pol. Industrial), 17253 VALL-LLOBREGA, Girona, España","c/ Indústria, 19 (Pol. Industrial), 17253 VALL-LLOBREGA, Girona, España",,,
59,NÁUTICALEIX / (NAUTIC ALEIX S.L.),"Carrer Comerç nº 2 , Polígon industrial",17493,VILAJUïGA,Girona,España,"Carrer Comerç nº 2 , Polígon industrial, 17493 VILAJUïGA, Girona, España","Carrer Comerç nº 2 , Polígon industrial, 17493 VILAJUïGA, Girona, España",,,
60,NAUTIVELA / (COSTA BRAVA YACHTS),Ctra. Orriols a l'Escala Km 16.6,17137,VILADAMAT,Girona,España,"Ctra. Orriols a l'Escala Km 16.6, 17137 VILADAMAT, Girona, España","Ctra. Orriols a l'Escala Km 16.6, 17137 VILADAMAT, Girona, España",,,
61,ROSES NÀUTIC / (BOATS MEDITERRANI),"Gran Via Pau Casals, 3, Ctra. de Roses a Palau, Km 3",17495,PALAU SAVERDERA,Girona,España,"Gran Via Pau Casals, 3, Ctra. de Roses a Palau, Km 3, 17495 PALAU SAVERDERA, Girona, España","Gran Via Pau Casals, 3, Ctra. de Roses a Palau, Km 3, 17495 PALAU SAVERDERA, Girona, España",,,
62,NÁUTICA ÉLITE,,18697,LA HERRADURA,Granada,España,"18697 LA HERRADURA, Granada, España","18697 LA HERRADURA, Granada, España",,,Puerto Deportivo Marina del Este
